Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Activity",35362C93-5A3E-0B64-5C5D-03D4F129BCA5,72,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Customer",331A1377-6EA0-79F2-620C-3FF8D25BC6C8,73,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Designation",896E9E22-92BB-B5DD-682B-B39157A7EB03,74,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Destination",5E0F02BA-E773-F4F7-DD57-D3D924F15A4E,75,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Package",15A18D05-3670-4E82-C1DE-F33D65AC5496,76,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"PackageActivity",44C2606A-4710-3433-D143-1456D4AB1750,77,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"PackageDays",88959D74-1FE2-2E76-769E-8539A46428F0,78,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"PackageDestination",689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Staff",E605240A-2EA9-15C6-26F1-4EE3CE08D030,80,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"TourGuide",1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,,F6478E75-38F5-D2BB-2FA9-6B9FC1E58C5E,71,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
