1,1,1,1,57%,43%,14,16,5,3,225,168,6,1,3,2,6,12
2,2,1,2,60%,40%,18,9,5,2,261,176,5,5,4,3,10,5
3,3,1,3,43%,57%,5,4,3,2,53,70,1,3,2,3,8,4
4,4,1,4,,,,,,,,,,,,,,
5,5,1,5,,,,,,,,,,,,,,
6,6,1,6,,,,,,,,,,,,,,
7,7,1,7,,,,,,,,,,,,,,
8,8,1,8,42%,58%,13,12,2,125,125,174,2,3,2,2,21,9
9,9,1,9,58%,42%,21,11,5,3,212,155,3,2,4,2,16,10
10,10,1,10,54%,46%,7,12,0,3,149,126,1,3,11,10,1,3
11,11,1,11,48%,52%,12,12,6,7,155,170,1,8,7,2,12,11
12,12,1,12,54%,46%,9,17,3,5,251,216,4,1,3,6,10,9
13,13,1,13,63%,37%,9,15,4,4,220,131,2,4,9,6,22,16
14,14,1,14,52%,48%,14,9,4,3,194,179,2,5,3,5,21,17
15,15,1,15,65%,35%,18,3,10,1,381,202,6,1,11,0,11,10
16,16,1,16,65%,35%,15,12,7,5,303,164,3,0,12,3,9,19
17,17,1,17,56%,44%,7,15,1,6,267,206,2,4,2,6,11,9
18,18,1,18,52%,48%,17,13,6,5,119,108,4,3,13,6,11,15
19,19,1,19,58%,42%,10,5,3,2,185,134,2,7,4,3,22,12
20,20,1,20,45%,55%,8,16,4,8,320,385,2,5,4,6,9,5
21,21,1,21,54%,46%,7,18,2,5,275,234,1,2,2,3,14,14
